name,address,coordinates,govprisons,private,geoprison,corecivicprison,coordinates_rev,State,stateshortname,PrisonName,stateprison,longitude,latitude,geometry
South Louisiana ICE Processing Center,"3843 Stagg Avenue, Basile, Louisiana 70515",POINT (-92.58186663299219 30.486689584325344),0.0,1.0,1.0,0.0,"(30.486689584325344, -92.58186663299219)",Louisiana,LA,,,,,
South Texas ICE Processing Center,"566 Veteran Drive, Pearsall, TX 78061",POINT (-99.12124769337424 28.895315583488873),0.0,1.0,1.0,0.0,"(28.895315583488873, -99.12124769337424)",Texas,TX,,,,,
Val Verde County Detention Facility,"253 FM 2523 Hamilton Lane, Del Rio, TX 78840",POINT (-100.84782954922768 29.373377491293514),0.0,1.0,1.0,0.0,"(29.373377491293514, -100.84782954922768)",Texas,TX,,,,,
Western Region Detention Facility,"220 West C Street, San Diego, CA 92101",POINT (-117.16535619647111 32.71753835),0.0,1.0,1.0,0.0,"(32.71753835, -117.16535619647111)",California,CA,,,,,
Western Regional Office,"Los Angeles County, CA",POINT (-118.209681 34.3155072),0.0,1.0,1.0,0.0,"(34.3155072, -118.209681)",California,CA,,,,,
World Headquarters,"4955 Technology Way Boca Raton FL, 33431",POINT (-80.1023699 26.39137975),0.0,1.0,1.0,0.0,"(26.39137975, -80.1023699)",Florida,FL,,,,,
Adams County Correctional Center,,POINT (-91.22058 31.55897),0.0,1.0,0.0,1.0,"(31.55897, -91.22058)",Mississippi,MS,,,,,
Adams Transitional Center,,POINT (-104.97006 39.80885),0.0,1.0,0.0,1.0,"(39.80885, -104.97006)",Colorado,CO,,,,,
Allen Gamble Correctional Center (formerly Davis Correctional Facility),,POINT (-96.44393 35.09006),0.0,1.0,0.0,1.0,"(35.09006, -96.44393)",Oklahoma,OK,,,,,
Arapahoe Community Treatment Center,,POINT (-105.029175 39.655743),0.0,1.0,0.0,1.0,"(39.655743, -105.029175)",Colorado,CO,,,,,
Austin Residential Reentry Center,,POINT (-97.64257 30.202234),0.0,1.0,0.0,1.0,"(30.202234, -97.64257)",Texas,TX,,,,,
Austin Transitional Center,,POINT (-97.64257 30.202234),0.0,1.0,0.0,1.0,"(30.202234, -97.64257)",Texas,TX,,,,,
Bent County Correctional Facility,,POINT (-103.20539 38.066277),0.0,1.0,0.0,1.0,"(38.066277, -103.20539)",Colorado,CO,,,,,
Boston Avenue,,POINT (-117.13503 32.69353),0.0,1.0,0.0,1.0,"(32.69353, -117.13503)",California,CA,,,,,
California City Correctional Center,,POINT (-117.861916 35.154705),0.0,1.0,0.0,1.0,"(35.154705, -117.861916)",California,CA,,,,,
Centennial Community Transition Center,,POINT (-104.82109 39.58827),0.0,1.0,0.0,1.0,"(39.58827, -104.82109)",Colorado,CO,,,,,
Central Arizona Florence Correctional Complex,,POINT (-111.37685 33.04417),0.0,1.0,0.0,1.0,"(33.04417, -111.37685)",Arizona,AZ,,,,,
Cheyenne Transitional Center,,POINT (-104.81808 41.13313),0.0,1.0,0.0,1.0,"(41.13313, -104.81808)",Wyoming,WY,,,,,
Cibola County Correctional Center,,POINT (-107.90791 35.17948),0.0,1.0,0.0,1.0,"(35.17948, -107.90791)",New Mexico,NM,,,,,
Cimarron Facility,,POINT (-96.78048 35.94391),0.0,1.0,0.0,1.0,"(35.94391, -96.78048)",Oklahoma,OK,,,,,
Citrus County Detention Facility,,POINT (-82.47694 28.84513),0.0,1.0,0.0,1.0,"(28.84513, -82.47694)",Florida,FL,,,,,
Coffee Correctional Facility,,POINT (-82.63512 31.52459),0.0,1.0,0.0,1.0,"(31.52459, -82.63512)",Georgia,GA,,,,,
Commerce Transitional Center,,POINT (-104.91687 39.78593),0.0,1.0,0.0,1.0,"(39.78593, -104.91687)",Colorado,CO,,,,,
Corpus Christi Transitional Center,,POINT (-97.39882 27.80539),0.0,1.0,0.0,1.0,"(27.80539, -97.39882)",Texas,TX,,,,,
Crossroads Correctional Center,,POINT (-111.89491 48.50151),0.0,1.0,0.0,1.0,"(48.50151, -111.89491)",Montana,MT,,,,,
Crowley County Correctional Facility,,POINT (-103.95806 38.162277),0.0,1.0,0.0,1.0,"(38.162277, -103.95806)",Colorado,CO,,,,,
Dallas Transitional Center,,POINT (-96.70347 32.670532),0.0,1.0,0.0,1.0,"(32.670532, -96.70347)",Texas,TX,,,,,
Diamondback Correctional Facility,,POINT (-98.41101 35.88469),0.0,1.0,0.0,1.0,"(35.88469, -98.41101)",Oklahoma,OK,,,,,
Eden Detention Center,,POINT (-99.83481 31.21689),0.0,1.0,0.0,1.0,"(31.21689, -99.83481)",Texas,TX,,,,,
El Paso Multi-Use Facility,,POINT (-106.22874 31.6728),0.0,1.0,0.0,1.0,"(31.6728, -106.22874)",Texas,TX,,,,,
El Paso Transitional Center,,POINT (-106.228745 31.6728),0.0,1.0,0.0,1.0,"(31.6728, -106.228745)",Texas,TX,,,,,
Elizabeth Detention Center,,POINT (-74.1891 40.665802),0.0,1.0,0.0,1.0,"(40.665802, -74.1891)",New Jersey,NJ,,,,,
Eloy Detention Center,,POINT (-111.52077 32.81785),0.0,1.0,0.0,1.0,"(32.81785, -111.52077)",Arizona,AZ,,,,,
Fort Worth Transitional Center,,POINT (-97.34324 32.75964),0.0,1.0,0.0,1.0,"(32.75964, -97.34324)",Texas,TX,,,,,
Ghent Residential Reentry Center,,POINT (-76.28873 36.867874),0.0,1.0,0.0,1.0,"(36.867874, -76.28873)",Virginia,VA,,,,,
Hardeman County Correctional Facility,,POINT (-89.15829 35.29057),0.0,1.0,0.0,1.0,"(35.29057, -89.15829)",Tennessee,TN,,,,,
Headquarters &amp; Facility Support Center,,POINT (-86.81546 36.03333),0.0,1.0,0.0,1.0,"(36.03333, -86.81546)",Tennessee,TN,,,,,
Headquarters and Training Center,,POINT (-104.99446 39.77626),0.0,1.0,0.0,1.0,"(39.77626, -104.99446)",Colorado,CO,,,,,
Houston Processing Center,,POINT (-95.31226 29.95057),0.0,1.0,0.0,1.0,"(29.95057, -95.31226)",Texas,TX,,,,,
Huerfano County Correctional Center,,POINT (-104.76057 37.62716),0.0,1.0,0.0,1.0,"(37.62716, -104.76057)",Colorado,CO,,,,,
James River Residential Reentry Center,,POINT (-76.448875 37.016903),0.0,1.0,0.0,1.0,"(37.016903, -76.448875)",Virginia,VA,,,,,
Jenkins Correctional Center,,POINT (-81.922745 32.79144),0.0,1.0,0.0,1.0,"(32.79144, -81.922745)",Georgia,GA,,,,,
Kit Carson Correctional Center,,POINT (-102.24506 39.30446),0.0,1.0,0.0,1.0,"(39.30446, -102.24506)",Colorado,CO,,,,,
La Palma Correctional Center,,POINT (-111.52452 32.8139),0.0,1.0,0.0,1.0,"(32.8139, -111.52452)",Arizona,AZ,,,,,
Lake City Correctional Facility,,POINT (-82.50821 30.19226),0.0,1.0,0.0,1.0,"(30.19226, -82.50821)",Florida,FL,,,,,
Lake Erie Correctional Institution,,POINT (-80.52791 41.942207),0.0,1.0,0.0,1.0,"(41.942207, -80.52791)",Ohio,OH,,,,,
Laredo Processing Center,,POINT (-99.4485 27.52926),0.0,1.0,0.0,1.0,"(27.52926, -99.4485)",Texas,TX,,,,,
Lee Adjustment Center,,POINT (-83.7097 37.60889),0.0,1.0,0.0,1.0,"(37.60889, -83.7097)",Kentucky,KY,,,,,
Leo Chesney Correctional Facility,,POINT (-121.66467 39.26815),0.0,1.0,0.0,1.0,"(39.26815, -121.66467)",California,CA,,,,,
Longmont Community Treatment Center,,POINT (-105.10211 40.1633),0.0,1.0,0.0,1.0,"(40.1633, -105.10211)",Colorado,CO,,,,,
Marion Adjustment Center,,POINT (-85.3469 37.57955),0.0,1.0,0.0,1.0,"(37.57955, -85.3469)",Kentucky,KY,,,,,
Midwest Regional Reception Center,,POINT (-94.89196 39.272274),0.0,1.0,0.0,1.0,"(39.272274, -94.89196)",Kansas,KS,,,,,
Nevada Southern Detention Center,,POINT (-115.97528 36.25298),0.0,1.0,0.0,1.0,"(36.25298, -115.97528)",Nevada,NV,,,,,
North Fork Correctional Facility,,POINT (-99.62108 35.29185),0.0,1.0,0.0,1.0,"(35.29185, -99.62108)",Oklahoma,OK,,,,,
Northeast Ohio Correctional Center,,POINT (-80.63168 41.13102),0.0,1.0,0.0,1.0,"(41.13102, -80.63168)",Ohio,OH,,,,,
Northwest New Mexico Correctional Center (Formerly New Mexico Women&#39;s Correctional Facility),,POINT (-107.81839 35.140614),0.0,1.0,0.0,1.0,"(35.140614, -107.81839)",New Mexico,NM,,,,,
Ocean View,,POINT (-117.11799 32.70029),0.0,1.0,0.0,1.0,"(32.70029, -117.11799)",California,CA,,,,,
Oklahoma Reentry Opportunity Center,,POINT (-97.565475 35.462208),0.0,1.0,0.0,1.0,"(35.462208, -97.565475)",Oklahoma,OK,,,,,
Oklahoma Regional Office,,POINT (-97.46144 35.66477),0.0,1.0,0.0,1.0,"(35.66477, -97.46144)",Oklahoma,OK,,,,,
Otay Mesa Detention Center,,POINT (-116.91375 32.57479),0.0,1.0,0.0,1.0,"(32.57479, -116.91375)",California,CA,,,,,
Prairie Correctional Facility,,POINT (-96.02183 45.18105),0.0,1.0,0.0,1.0,"(45.18105, -96.02183)",Minnesota,MN,,,,,
Red Rock Correctional Center,,POINT (-111.5196 32.81056),0.0,1.0,0.0,1.0,"(32.81056, -111.5196)",Arizona,AZ,,,,,
RMS-Aurora,,POINT (-104.82222 39.72276),0.0,1.0,0.0,1.0,"(39.72276, -104.82222)",Colorado,CO,,,,,
RMS-Brooklyn,,POINT (-73.98256 40.69266),0.0,1.0,0.0,1.0,"(40.69266, -73.98256)",New York,NY,,,,,
RMS-Castle Rock,,POINT (-104.86033 39.3762),0.0,1.0,0.0,1.0,"(39.3762, -104.86033)",Colorado,CO,,,,,
RMS-Centennial,,POINT (-104.82109 39.58827),0.0,1.0,0.0,1.0,"(39.58827, -104.82109)",Colorado,CO,,,,,
RMS-Fort Collins,,POINT (-105.07639 40.54659),0.0,1.0,0.0,1.0,"(40.54659, -105.07639)",Colorado,CO,,,,,
RMS-Grand Junction,,POINT (-108.58328 39.08548),0.0,1.0,0.0,1.0,"(39.08548, -108.58328)",Colorado,CO,,,,,
RMS-Longmont,,POINT (-105.10156 40.18727),0.0,1.0,0.0,1.0,"(40.18727, -105.10156)",Colorado,CO,,,,,
RMS-Loveland,,POINT (-105.07119 40.40738),0.0,1.0,0.0,1.0,"(40.40738, -105.07119)",Colorado,CO,,,,,
RMS-Pueblo,,POINT (-104.62262 38.31219),0.0,1.0,0.0,1.0,"(38.31219, -104.62262)",Colorado,CO,,,,,
RMS-Rochester,,POINT (-77.61246 43.15469),0.0,1.0,0.0,1.0,"(43.15469, -77.61246)",New York,NY,,,,,
Saguaro Correctional Center,,POINT (-111.554474 32.80685),0.0,1.0,0.0,1.0,"(32.80685, -111.554474)",Arizona,AZ,,,,,
South Central Correctional Center,,POINT (-88.00128 35.367813),0.0,1.0,0.0,1.0,"(35.367813, -88.00128)",Tennessee,TN,,,,,
South Raleigh Reentry Center,,POINT (-78.64582 35.73203),0.0,1.0,0.0,1.0,"(35.73203, -78.64582)",North Carolina,NC,,,,,
South Texas Family Residential Center,,POINT (-99.14609 28.663706),0.0,1.0,0.0,1.0,"(28.663706, -99.14609)",Texas,TX,,,,,
Southeast Kentucky Correctional Center,,POINT (-82.71974 37.340454),0.0,1.0,0.0,1.0,"(37.340454, -82.71974)",Kentucky,KY,,,,,
Stewart Detention Center,,POINT (-84.77017 32.040318),0.0,1.0,0.0,1.0,"(32.040318, -84.77017)",Georgia,GA,,,,,
T. Don Hutto Detention Center,,POINT (-97.41919 30.56555),0.0,1.0,0.0,1.0,"(30.56555, -97.41919)",Texas,TX,,,,,
Tallahatchie County Correctional Facility,,POINT (-90.44525 34.028564),0.0,1.0,0.0,1.0,"(34.028564, -90.44525)",Mississippi,MS,,,,,
Torrance County Detention Facility,,POINT (-106.05044 34.76862),0.0,1.0,0.0,1.0,"(34.76862, -106.05044)",New Mexico,NM,,,,,
Trousdale Turner Correctional Center,,POINT (-86.09262 36.35431),0.0,1.0,0.0,1.0,"(36.35431, -86.09262)",Tennessee,TN,,,,,
Turley Residential Center,,POINT (-95.99092 36.243954),0.0,1.0,0.0,1.0,"(36.243954, -95.99092)",Oklahoma,OK,,,,,
Webb County Detention Facility,,POINT (-99.49027 27.369923),0.0,1.0,0.0,1.0,"(27.369923, -99.49027)",Texas,TX,,,,,
West Tennessee Detention Facility,,POINT (-89.54843 35.407818),0.0,1.0,0.0,1.0,"(35.407818, -89.54843)",Tennessee,TN,,,,,
Wheeler Correctional Facility,,POINT (-82.79871 32.15305),0.0,1.0,0.0,1.0,"(32.15305, -82.79871)",Georgia,GA,,,,,
Whiteville Correctional Facility,,POINT (-89.15266 35.3026),0.0,1.0,0.0,1.0,"(35.3026, -89.15266)",Tennessee,TN,,,,,
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Bibb Correctional Facility,1.0,-87.1627807,32.9207544,POINT (-87.1627807 32.9207544)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Bullock Correctional Facility,1.0,-85.6739273,32.1471443,POINT (-85.6739273 32.1471443)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,William E. Donaldson Correctional Facility,1.0,-87.1847963,33.51405370000001,POINT (-87.1847963 33.51405370000001)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Easterling Correctional Facility,1.0,-85.58496579999999,31.6908023,POINT (-85.58496579999999 31.6908023)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Elmore Correctional Facility,1.0,-86.32133569999999,32.5744376,POINT (-86.32133569999999 32.5744376)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Fountain Correctional Facility,1.0,-87.4645704,31.1568953,POINT (-87.4645704 31.1568953)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Hamilton Aged & Infirmed,1.0,-87.98864379999999,34.1423235,POINT (-87.98864379999999 34.1423235)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Holman Correctional Facility,1.0,-87.45121429999999,31.1352453,POINT (-87.45121429999999 31.1352453)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,St. Clair Correctional Facility,1.0,-86.38565059999999,33.7469215,POINT (-86.38565059999999 33.7469215)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Staton Correctional Facility,1.0,-86.3331571,32.57716550000001,POINT (-86.3331571 32.57716550000001)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Julia Tutwiler Prison for Women,1.0,-86.1940048,32.5640382,POINT (-86.1940048 32.5640382)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Kilby Correctional Facility,1.0,-86.10174370000001,32.3879038,POINT (-86.10174370000001 32.3879038)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Limestone Correctional Facility,1.0,-86.8059248,34.811017,POINT (-86.8059248 34.811017)
,,,1.0,0.0,0.0,0.0,,Alabama,AL,Ventress Correctional Facility,1.0,-85.4928783,31.8889518,POINT (-85.4928783 31.8889518)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Anchorage Correctional Complex,1.0,-149.8567296,61.2186086,POINT (-149.8567296 61.2186086)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Anchorage Correctional Complex East,1.0,-149.8567296,61.2186086,POINT (-149.8567296 61.2186086)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Anchorage Correctional Complex West,1.0,-149.8567296,61.2186086,POINT (-149.8567296 61.2186086)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Anvil Mountain Correctional Center,1.0,-165.4125693,64.5372083,POINT (-165.4125693 64.5372083)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Fairbanks Correctional Center,1.0,-147.7591515,64.8333367,POINT (-147.7591515 64.8333367)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Goose Creek Correctional Center,1.0,-150.0079986,61.35979260000001,POINT (-150.0079986 61.35979260000001)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Hiland Mountain Correctional Center,1.0,-149.580061,61.30199500000001,POINT (-149.580061 61.30199500000001)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Ketchikan Correctional Center,1.0,-131.6499571,55.3481991,POINT (-131.6499571 55.3481991)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Lemon Creek Correctional Center,1.0,-134.4839782,58.3623962,POINT (-134.4839782 58.3623962)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Mat-Su Pretrial Facility,1.0,-149.1094859,61.6023138,POINT (-149.1094859 61.6023138)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Palmer Medium and Minimum Correctional Centers,1.0,-154.4930619,63.588753,POINT (-154.4930619 63.588753)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Spring Creek Correctional Center,1.0,-149.3380741,60.0939166,POINT (-149.3380741 60.0939166)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Wildwood Correctional Center,1.0,-151.3000522,60.584234,POINT (-151.3000522 60.584234)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Wildwood Pretrial Facility,1.0,-151.3000461,60.58395890000001,POINT (-151.3000461 60.58395890000001)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Yukon-Kuskokwim Correctional Center,1.0,-161.7866538,60.7860621,POINT (-161.7866538 60.7860621)
,,,1.0,0.0,0.0,0.0,,Alaska,AK,Point MacKenzie Correctional Farm,1.0,-150.0924149,61.4186,POINT (-150.0924149 61.4186)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Douglas ,1.0,-109.6000765,31.4455211,POINT (-109.6000765 31.4455211)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Eyman ,1.0,-111.3305854,33.0369974,POINT (-111.3305854 33.0369974)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Florence ,1.0,-111.373139,33.0285822,POINT (-111.373139 33.0285822)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Lewis ,1.0,-112.6557775,33.2009209,POINT (-112.6557775 33.2009209)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Perryville,1.0,-112.4422426,33.4710105,POINT (-112.4422426 33.4710105)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Phoenix ,1.0,-112.0237862,33.4523949,POINT (-112.0237862 33.4523949)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Safford,1.0,-109.5661589,32.8290654,POINT (-109.5661589 32.8290654)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Tucson,1.0,-110.8593386,32.0678392,POINT (-110.8593386 32.0678392)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Winslow ,1.0,-110.718345,34.9846405,POINT (-110.718345 34.9846405)
,,,1.0,0.0,0.0,0.0,,Arizona,AZ,Arizona State Prison Complex – Yuma ,1.0,-114.6424863,32.4863849,POINT (-114.6424863 32.4863849)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Barbara Ester Unit,1.0,-92.0830331,34.2220923,POINT (-92.0830331 34.2220923)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Benton Unit ,1.0,-92.58537799999999,34.5693083,POINT (-92.58537799999999 34.5693083)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Cummins Unit,1.0,-91.57901439999999,34.0639889,POINT (-91.57901439999999 34.0639889)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Delta Regional Unit,1.0,-91.4149863,33.5189554,POINT (-91.4149863 33.5189554)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,East Arkansas Regional Unit ,1.0,-90.60000610000002,34.8491859,POINT (-90.60000610000002 34.8491859)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Grimes Unit,1.0,-91.18799109999999,35.6260082,POINT (-91.18799109999999 35.6260082)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,J. Aaron Hawkins Sr. Center,1.0,-91.51097159999999,36.1497914,POINT (-91.51097159999999 36.1497914)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Maximum Security Unit,1.0,-91.9153589,34.4545849,POINT (-91.9153589 34.4545849)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,McPherson Unit,1.0,-91.1936772,35.6256219,POINT (-91.1936772 35.6256219)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Mississippi County Work Release Center,1.0,-89.9642811,35.7783972,POINT (-89.9642811 35.7783972)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,North Central Unit ,1.0,-92.1505389,36.1632568,POINT (-92.1505389 36.1632568)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Northwest Arkansas Work Release Center,1.0,-94.1356938,36.1749452,POINT (-94.1356938 36.1749452)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Ouachita River Unit,1.0,-92.8428947,34.3448845,POINT (-92.8428947 34.3448845)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Pine Bluff Unit ,1.0,-92.08143919999999,34.2209507,POINT (-92.08143919999999 34.2209507)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Randall L. Williams Correctional Center,1.0,-92.0776894,34.2218319,POINT (-92.0776894 34.2218319)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Texarkana Regional Correction Center,1.0,-94.0413063,33.4263617,POINT (-94.0413063 33.4263617)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Tucker Unit,1.0,-91.9099312,34.439058,POINT (-91.9099312 34.439058)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Willis H. Sargent Training Academy,1.0,-91.8318334,35.20105,POINT (-91.8318334 35.20105)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Varner Unit,1.0,-91.6082034,34.0425076,POINT (-91.6082034 34.0425076)
,,,1.0,0.0,0.0,0.0,,Arkansas,AR,Wrightsville Unit,1.0,-92.2194768,34.6167733,POINT (-92.2194768 34.6167733)
,,,1.0,0.0,0.0,0.0,,California,CA,Avenal State Prison,1.0,-120.1233101,35.9743318,POINT (-120.1233101 35.9743318)
,,,1.0,0.0,0.0,0.0,,California,CA,California City Correctional Facility,1.0,-117.8587484,35.1517676,POINT (-117.8587484 35.1517676)
,,,1.0,0.0,0.0,0.0,,California,CA,California Correctional Institution,1.0,-118.5694868,35.1133011,POINT (-118.5694868 35.1133011)
,,,1.0,0.0,0.0,0.0,,California,CA,California Health Care Facility,1.0,-121.1864019,37.8972065,POINT (-121.1864019 37.8972065)
,,,1.0,0.0,0.0,0.0,,California,CA,California Institution for Men,1.0,-117.6826422,33.981973,POINT (-117.6826422 33.981973)
,,,1.0,0.0,0.0,0.0,,California,CA,California Institution for Women,1.0,-117.6348484,33.9493264,POINT (-117.6348484 33.9493264)
,,,1.0,0.0,0.0,0.0,,California,CA,California Medical Facility,1.0,-121.9769425,38.32927790000001,POINT (-121.9769425 38.32927790000001)
,,,1.0,0.0,0.0,0.0,,California,CA,California Men's Colony,1.0,-120.6944703,35.3253675,POINT (-120.6944703 35.3253675)
,,,1.0,0.0,0.0,0.0,,California,CA,California Rehabilitation Center,1.0,-117.5715198,33.9308802,POINT (-117.5715198 33.9308802)
,,,1.0,0.0,0.0,0.0,,California,CA,"California State Prison, Centinela",1.0,-115.7888117,32.8204948,POINT (-115.7888117 32.8204948)
,,,1.0,0.0,0.0,0.0,,California,CA,"California State Prison, Corcoran",1.0,-119.5508573,36.0605733,POINT (-119.5508573 36.0605733)
,,,1.0,0.0,0.0,0.0,,California,CA,"California State Prison, Los Angeles County",1.0,-118.227628,34.696373,POINT (-118.227628 34.696373)
,,,1.0,0.0,0.0,0.0,,California,CA,"California State Prison, Sacramento",1.0,-121.1573499,38.6916076,POINT (-121.1573499 38.6916076)
,,,1.0,0.0,0.0,0.0,,California,CA,"California State Prison, Solano",1.0,-121.9749219,38.3208192,POINT (-121.9749219 38.3208192)
,,,1.0,0.0,0.0,0.0,,California,CA,"California Substance Abuse Treatment Facility and State Prison, Corcoran",1.0,-119.5604015,36.098007,POINT (-119.5604015 36.098007)
,,,1.0,0.0,0.0,0.0,,California,CA,Calipatria State Prison,1.0,-115.4847385,33.1630656,POINT (-115.4847385 33.1630656)
,,,1.0,0.0,0.0,0.0,,California,CA,Central California Women's Facility,1.0,-120.1498291,37.0898065,POINT (-120.1498291 37.0898065)
,,,1.0,0.0,0.0,0.0,,California,CA,Chuckawalla Valley State Prison,1.0,-114.9088546,33.5628161,POINT (-114.9088546 33.5628161)
,,,1.0,0.0,0.0,0.0,,California,CA,Correctional Training Facility,1.0,-121.3826401,36.470807,POINT (-121.3826401 36.470807)
,,,1.0,0.0,0.0,0.0,,California,CA,Folsom State Prison,1.0,-121.1572053,38.6913497,POINT (-121.1572053 38.6913497)
,,,1.0,0.0,0.0,0.0,,California,CA,High Desert State Prison,1.0,-120.5124802,40.4106737,POINT (-120.5124802 40.4106737)
,,,1.0,0.0,0.0,0.0,,California,CA,Ironwood State Prison,1.0,-114.9268671,33.5606872,POINT (-114.9268671 33.5606872)
,,,1.0,0.0,0.0,0.0,,California,CA,Kern Valley State Prison,1.0,-119.3207594,35.7660403,POINT (-119.3207594 35.7660403)
,,,1.0,0.0,0.0,0.0,,California,CA,Mule Creek State Prison,1.0,-120.9537285,38.37063089999999,POINT (-120.9537285 38.37063089999999)
,,,1.0,0.0,0.0,0.0,,California,CA,North Kern State Prison,1.0,-119.3096243,35.78272949999999,POINT (-119.3096243 35.78272949999999)
,,,1.0,0.0,0.0,0.0,,California,CA,Pelican Bay State Prison,1.0,-124.1503259,41.85374789999999,POINT (-124.1503259 41.85374789999999)
,,,1.0,0.0,0.0,0.0,,California,CA,Pleasant Valley State Prison,1.0,-120.2491987,36.1296774,POINT (-120.2491987 36.1296774)
,,,1.0,0.0,0.0,0.0,,California,CA,Richard J. Donovan Correctional Facility,1.0,-116.9337257,32.5847064,POINT (-116.9337257 32.5847064)
,,,1.0,0.0,0.0,0.0,,California,CA,Salinas Valley State Prison,1.0,-121.3756429,36.4811696,POINT (-121.3756429 36.4811696)
,,,1.0,0.0,0.0,0.0,,California,CA,San Quentin State Prison,1.0,-122.4892327,37.9387136,POINT (-122.4892327 37.9387136)
,,,1.0,0.0,0.0,0.0,,California,CA,Sierra Conservation Center,1.0,-120.5380359,37.8934741,POINT (-120.5380359 37.8934741)
,,,1.0,0.0,0.0,0.0,,California,CA,Valley State Prison,1.0,-120.1531236,37.1011998,POINT (-120.1531236 37.1011998)
,,,1.0,0.0,0.0,0.0,,California,CA,Wasco State Prison,1.0,-119.4072212,35.593903,POINT (-119.4072212 35.593903)
,,,1.0,0.0,0.0,0.0,,Colorado,CO,Arkansas Valley Correctional Facility ,1.0,-103.8404542,38.1892477,POINT (-103.8404542 38.1892477)
,,,1.0,0.0,0.0,0.0,,Colorado,CO,Arrowhead Correctional Center,1.0,-105.1561063,38.4348311,POINT (-105.1561063 38.4348311)
,,,1.0,0.0,0.0,0.0,,Colorado,CO,Buena Vista Correctional Facility ,1.0,-106.117628,38.82200690000001,POINT (-106.117628 38.82200690000001)
,,,1.0,0.0,0.0,0.0,,Colorado,CO,Centennial Correctional Facility,1.0,-105.1524658,38.4375618,POINT (-105.1524658 38.4375618)
,,,1.0,0.0,0.0,0.0,,Colorado,CO,Colorado Correctional Center ,1.0,-106.1086379,37.7530563,POINT (-106.1086379 37.7530563)
,,,1.0,0.0,0.0,0.0,,Colorado,CO,Colorado State Penitentiary,1.0,-105.1579266,38.4404178,POINT (-105.1579266 38.4404178)
